Category,Product,Label;
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Kungsgatan, Kungsgatan 20, 411 19 Göteborg"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Malmö, Masttorget 6, vån 6, 211 77 Malmö"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Jönköping, Lantmätargränd 61, 553 20 Jönköping"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare MediaMarkt Högsbo, Lona Knapes gata 1, 421 32 Västra Frölunda"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Stjärnafyrkant, Ortviksvägen 8, 856 33 Sundsvall"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Stockholm, Sveavägen 28, 111 34 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Godsinlösen Nordic AB, Handelvägen 18, 24522 Staffanstorp"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Täby centrum, Stora Vägen 145, 183 34 Täby"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare MediaMarkt Gallerian, Hamngatan 37, 111 53 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare MediaMarkt Gallerian, Hamngatan 37, 111 53 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Jönköping, Lantmätargränd 61, 553 20 Jönköping"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Godsinlösen Nordic AB, Handelvägen 18, 24522 Staffanstorp"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare MediaMarkt Högsbo, Lona Knapes gata 1, 421 32 Västra Frölunda"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Malmö, Masttorget 6, vån 6, 211 77 Malmö"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Kungsgatan, Kungsgatan 20, 411 19 Göteborg"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Täby centrum, Stora Vägen 145, 183 34 Täby"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Stjärnafyrkant, Ortviksvägen 8, 856 33 Sundsvall"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Stockholm, Sveavägen 28, 111 34 Stockholm"",Nordic Swan";
Copier,Brother DCP-L8450CDW,Nordic Swan;
Copier,Brother DCP-9020CDW,Nordic Swan;
Copier,Brother DCP-L6600DW,Nordic Swan;
Copier,Brother DCP-L8400CDN,Nordic Swan;
Copier,Brother DCP-J4120DW,Nordic Swan;
Copier,Digital Copier DCP9015CDW,Nordic Swan;
Copier,Brother DCP-L3517CDW,Nordic Swan;
Copier,Brother MFC-9330CDW,Nordic Swan;
